Area,Check,Pass Criteria,Result,Notes
Installer,Official artifact,Install source is Poseidon.Installer.msi or Poseidon.Bundle.exe,,
Installer,ProvisioningCheck,Post-install provisioning-check exits 0 for valid install,,
Installer,Manifest,model-manifest.json exists with schema version and SHA-256 hashes,,
Config,Machine config,appsettings.user.json exists and parses as JSON,,
Config,Secrets,Production config uses protected secret references and no plaintext secrets,,
Runtime,Startup mode,Runtime enters Full Degraded or Recovery deterministically,,
Runtime,Hosted services,No ingestion or watcher service starts before provisioning or Recovery,,
Runtime,Full mode,Valid full install launches without setup wizard,,
Runtime,Recovery mode,Invalid config or missing model enters Recovery with diagnostics,,
Security,Management plane,Signed management requests are required outside development,,
Logs,Startup log,startup.log contains provisioning and runtime state decisions,,
Uninstall,Cleanup,Uninstall completes without leaving broken shortcuts,,
